2016-06-14 14:57:17 | INFO  | 127:blackboard.ws.client.GradeExtractApp               | EXTRACT START TIME: Tue Jun 14 14:57:11 CST 2016
2016-06-14 14:57:17 | INFO  | 128:blackboard.ws.client.GradeExtractApp               | EXTRACT COMPLETED : Tue Jun 14 14:57:17 CST 2016
2016-06-14 14:59:06 | INFO  | 116:blackboard.ws.client.GradeExtractApp               | EXTRACT STARTED : Tue Jun 14 14:59:06 CST 2016
2016-06-14 14:59:06 | INFO  | 160:blackboard.ws.client.WebServiceClient              | Initializing...
2016-06-14 14:59:06 | INFO  |  63:org.apache.axis2.deployment.ClusterBuilder         | Clustering has been disabled
2016-06-14 14:59:06 | INFO  |1098:org.apache.axis2.deployment.DeploymentEngine       | No services directory was found under C:\Users\cbonilla\Documents\GitHub\AIEP-GradeExtract\lib\axis2-1.6.2\lib.
2016-06-14 14:59:06 | INFO  |1109:org.apache.axis2.deployment.DeploymentEngine       | No modules directory was found under C:\Users\cbonilla\Documents\GitHub\AIEP-GradeExtract\lib\axis2-1.6.2\lib.
2016-06-14 14:59:06 | INFO  |  82:org.apache.axis2.deployment.ModuleDeployer         | Deploying module: addressing-1.6.2 - file:/C:/Users/cbonilla/Documents/GitHub/AIEP-GradeExtract/lib/axis2-1.6.2/lib/addressing-1.6.2.mar
2016-06-14 14:59:07 | INFO  |  82:org.apache.axis2.deployment.ModuleDeployer         | Deploying module: rampart-1.6.2 - file:/C:/Users/cbonilla/Documents/GitHub/AIEP-GradeExtract/lib/axis2-1.6.2/lib/rampart-1.6.2.mar
2016-06-14 14:59:07 | INFO  | 204:blackboard.ws.client.WebServiceClient              | Checking versions...
2016-06-14 14:59:08 | INFO  | 208:blackboard.ws.client.WebServiceClient              | Context server version: 2
2016-06-14 14:59:08 | INFO  | 212:blackboard.ws.client.WebServiceClient              | User server version: 1
2016-06-14 14:59:08 | INFO  | 216:blackboard.ws.client.WebServiceClient              | Util server version: 2
